timestamp,discount,10-year
2001-01-31,0.0475,5.15
2001-02-28,0.0475,5.06
2001-03-31,0.0475,5.02
2001-04-30,0.0475,5.31
2001-05-31,0.045,5.46
2001-06-30,0.045,5.36
2001-07-31,0.045,5.18
2001-08-31,0.0425,5.06
2001-09-30,0.0375,5.01
2001-10-31,0.0375,4.65
2001-11-30,0.0325,4.76
2001-12-31,0.0325,5.15
2002-01-31,0.0325,5.16
2002-02-28,0.0325,5.17
2002-03-31,0.0325,5.44
2002-04-30,0.0325,5.36
2002-05-31,0.0325,5.37
2002-06-30,0.0325,5.19
2002-07-31,0.0325,5.05
2002-08-31,0.0325,4.91
2002-09-30,0.0325,4.63
2002-10-31,0.0325,4.86
2002-11-30,0.0325,4.81
2002-12-31,0.0275,4.45
2003-01-31,0.0275,4.29
2003-02-28,0.0275,4.17
2003-03-31,0.025,4.32
2003-04-30,0.025,4.37
2003-05-31,0.025,3.89
2003-06-30,0.02,4.03
2003-07-31,0.02,4.27
2003-08-31,0.02,4.39
2003-09-30,0.02,4.22
2003-10-31,0.02,4.51
2003-11-30,0.02,4.62
2003-12-31,0.02,4.46
2004-01-31,0.02,4.41
2004-02-29,0.02,4.22
2004-03-31,0.02,4.1
2004-04-30,0.02,4.38
2004-05-31,0.02,4.47
2004-06-30,0.02,4.51
2004-07-31,0.02,4.61
2004-08-31,0.02,4.41
2004-09-30,0.02,4.32
2004-10-31,0.02,4.18
2004-11-30,0.02,4.02
2004-12-31,0.02,3.87
2005-01-31,0.02,3.67
2005-02-28,0.02,3.77
2005-03-31,0.02,3.74
2005-04-30,0.02,3.45
2005-05-31,0.02,3.31
2005-06-30,0.02,3.12
2005-07-31,0.02,3.2
2005-08-31,0.02,3.08
2005-09-30,0.02,3.09
2005-10-31,0.02,3.39
2005-11-30,0.02,3.43
2005-12-31,0.0225,3.3
2006-01-31,0.0225,3.45
2006-02-28,0.0225,3.54
2006-03-31,0.025,3.84
2006-04-30,0.025,4.07
2006-05-31,0.025,3.97
2006-06-30,0.0275,4.13
2006-07-31,0.0275,3.98
2006-08-31,0.03,3.8
2006-09-30,0.03,3.67
2006-10-31,0.0325,3.71
2006-11-30,0.0325,3.67
2006-12-31,0.035,3.89
2007-01-31,0.035,4.04
2007-02-28,0.035,3.92
2007-03-31,0.0375,4.03
2007-04-30,0.0375,4.19
2007-05-31,0.0375,4.43
2007-06-30,0.04,4.58
2007-07-31,0.04,4.39
2007-08-31,0.04,4.31
2007-09-30,0.04,4.38
2007-10-31,0.04,4.26
2007-11-30,0.04,4.12
2007-12-31,0.04,4.38
2008-01-31,0.04,3.94
2008-02-29,0.04,3.88
2008-03-31,0.04,4.05
2008-04-30,0.04,4.32
2008-05-31,0.04,4.64
2008-06-30,0.04,4.79
2008-07-31,0.0425,4.73
2008-08-31,0.0425,4.4
2008-09-30,0.0425,4.28
2008-10-31,0.045,4.56
2008-11-30,0.04,3.72
2008-12-31,0.035,3.25
2009-01-31,0.0275,3.7
2009-02-28,0.0275,3.46
2009-03-31,0.02,3.4
2009-04-30,0.0175,3.46
2009-05-31,0.013999999999999999,3.77
2009-06-30,0.012,3.62
2009-07-31,0.012,3.66
2009-08-31,0.01,3.54
2009-09-30,0.01,3.53
2009-10-31,0.01,3.65
2009-11-30,0.01,3.53
2009-12-31,0.01,3.62
2010-01-31,0.0075,3.54
2010-02-28,0.0075,3.42
2010-03-31,0.0075,3.37
2010-04-30,0.0075,3.21
2010-05-31,0.0075,2.69
2010-06-30,0.0075,2.68
2010-07-31,0.0075,2.76
2010-08-31,0.0075,2.17
2010-09-30,0.0075,2.37
2010-10-31,0.0075,2.63
2010-11-30,0.0075,2.85
2010-12-31,0.0075,3.02
2011-01-31,0.0075,3.17
2011-02-28,0.0075,3.21
2011-03-31,0.0075,3.39
2011-04-30,0.01,3.27
2011-05-31,0.01,3.03
2011-06-30,0.01,3.0
2011-07-31,0.0125,2.8
2011-08-31,0.0125,2.35
2011-09-30,0.0125,2.06
2011-10-31,0.0125,2.33
2011-11-30,0.01,2.04
2011-12-31,0.0075,1.58
2012-01-31,0.0075,1.75
2012-02-29,0.0075,1.78
2012-03-31,0.0075,1.82
2012-04-30,0.0075,1.63
2012-05-31,0.0075,1.08
2012-06-30,0.0025,1.46
2012-07-31,0.0,1.09
2012-08-31,0.0,1.11
2012-09-30,0.0,1.23
2012-10-31,0.0,1.23
2012-11-30,0.0,1.05
2012-12-31,0.0,1.03
2013-01-31,0.0,1.77
2013-02-28,0.0,1.58
2013-03-31,0.0,1.48
2013-04-30,0.0,1.32
2013-05-31,0.0,1.56
2013-06-30,0.0,1.86
2013-07-31,0.0,1.82
2013-08-31,0.0,2.05
2013-09-30,0.0,1.95
2013-10-31,0.0,1.75
2013-11-30,0.0,1.74
2013-12-31,0.0,1.99
2014-01-31,0.0,1.71
2014-02-28,0.0,1.63
2014-03-31,0.0,1.62
2014-04-30,0.0,1.57
2014-05-31,0.0,1.39
2014-06-30,0.0,1.29
