name,code_incl_expiration,ticker,shares,NACE
Aalborg Boldspil,AAB.CO,AAB.CO,2696297.0,93
Aarhus Lokalbank,AARHUS.CO^D12 (expired),AARHUS.CO^D12,16203655.0,64
Aak Denmark Hldg,AARUTD.CO^K05 (expired),AARUTD.CO^K05,4000000.0,64
Affitech,AFFI.CO^J12 (expired),AFFI.CO^J12,487721539.0,72
Agat Ejendomme,AGATE.CO,AGATE.CO,117783335.0,68
Agf,AGFEb.CO,AGFEb.CO,451913126.0,93
ALBANI BRYG,ALBCb.CO^F02 (expired),ALBCb.CO^F02,,11
ALK-Abello,ALKb.CO,ALKb.CO,202567200.0,21
Alm. Brand,ALMB.CO,ALMB.CO,1541140000.0,65
Alm. Brand,ALMBFb.CO^I14 (expired),ALMBFb.CO^I14,2805500.0,64
Alm Brand,ALMBPb.CO^L10 (expired),ALMBPb.CO^L10,1450000.0,68
Andersen & Marti,AMb.CO^J20 (expired),AMb.CO^J20,2024600.0,45
Amagerbanken,AMBA.CO^C11 (expired),AMBA.CO^C11,332732840.0,64
Ambu,AMBUb.CO,AMBUb.CO,234974389.0,32
Broedrene A O Jo,AOJb.CO,AOJb.CO,22360000.0,46
Arkil Holding,ARKILb.CO^G19 (expired),ARKILb.CO^G19,429823.0,42
Asgaard Group,ASGGRO.CO^A17 (expired),ASGGRO.CO^A17,1320000.0,64
Athena Investmen,ATHENAI.CO^B21 (expired),ATHENAI.CO^B21,106662695.0,35
Atlantic Petrolm,ATLA.CO,ATLA.CO,3697860.0,06
Auriga Indust,AURIb.CO^B16 (expired),AURIb.CO^B16,18000000.0,20
Bavarian Nordic,BAVA.CO,BAVA.CO,78854857.0,21
Covivio Berlin,BERLIVb.CO^B16 (expired),BERLIVb.CO^B16,270000000.0,68
Better Collectiv,BETCO.CO,BETCO.CO,63076627.0,58
BHJ,BHJ.CO^L04 (expired),BHJ.CO^L04,2400000.0,10
Broendbyernes,BIF.CO,BIF.CO,1140665466.0,93
Biomar Holding,BIOMAR.CO^D08 (expired),BIOMAR.CO^D08,10999038.0,10
Bioporto,BIOPOR.CO,BIOPOR.CO,429670461.0,21
Bioscan,BIOS.CO^B07 (expired),BIOS.CO^B07,17062694.0,39
Bang & Olufsen,BO.CO,BO.CO,147326503.0,26
Boconcept Hldg,BOCONb.CO^H16 (expired),BOCONb.CO^H16,2622119.0,47
Boliga Gruppen,BOLIGA.CO^K21 (expired),BOLIGA.CO^K21,16650000.0,63
F E Bording,BORDb.CO^A21 (expired),BORDb.CO^A21,294182.0,70
Bostad,BOSTADb.CO^E20 (expired),BOSTADb.CO^E20,152946626.0,68
Carlsberg,CARLa.CO,CARLa.CO,134256806.0,11
Carlsberg,CARLb.CO,CARLb.CO,134256806.0,11
cBrain,CBRAIN.CO,CBRAIN.CO,20000000.0,58
Cemat,CEMAT.CO,CEMAT.CO,249850303.0,68
CHEMITALIC A/S,CHEMb.CO^F03 (expired),CHEMb.CO^F03,1250000.0,26
Chemometec,CHEMM.CO,CHEMM.CO,17402479.0,26
Chr Hansen Hldg,CHRH.CO^A24 (expired),CHRH.CO^A24,131852496.0,20
Cimber Sterling,CIMBER.CO^E12 (expired),CIMBER.CO^E12,45500000.0,51
Scandi Co 3,CODAN.CO^G07 (expired),CODAN.CO^G07,45211300.0,64
Coloplast,COLOb.CO,COLOb.CO,210200000.0,32
Af 9 August 2012,COLOR.CO^I06 (expired),COLOR.CO^I06,1206000.0,18
Columbs,COLUM.CO,COLUM.CO,129276264.0,62
Consenta Hldg,CONSH.CO^L04 (expired),CONSH.CO^L04,3000000.0,47
Copenhagen Cap,CPHCAPST.CO,CPHCAPST.CO,62027010.0,68
Curalogic,CUR.CO^D09 (expired),CUR.CO^D09,56480149.0,21
Dampskibsselskab,D1912a.CO^F03 (expired),D1912a.CO^F03,1080000.0,50
Dampskibsselskab,D1912b.CO^F03 (expired),D1912b.CO^F03,1080000.0,50
Dnsk Andlksr Bk,DABA.CO,DABA.CO,223094774.0,64
Dai Holding,DAI.CO^A02 (expired),DAI.CO^A02,,70
Dansk Industri I,DAII.CO^I16 (expired),DAII.CO^I16,7190574.0,28
Danske Bk,DANSKE.CO,DANSKE.CO,862184621.0,64
Dantax,DANT.CO,DANT.CO,300000.0,26
Truckselskabet A,DANTR.CO^I10 (expired),DANTR.CO^I10,2221867.0,28
Stark DK,DATR.CO^G03 (expired),DATR.CO^G03,23673657.0,02
International N,DCO.CO^F11 (expired),DCO.CO^F11,47693295.0,20
Deas Invest I Hg,DEH.CO^E12 (expired),DEH.CO^E12,900000.0,64
Jysk Indstr Hldg,DELTAQ.CO^C16 (expired),DELTAQ.CO^C16,3494559.0,64
Demant,DEMANT.CO,DEMANT.CO,221089792.0,32
DFDS,DFDS.CO,DFDS.CO,57969597.0,50
Syd Administrati,DIBA.CO^A14 (expired),DIBA.CO^A14,3300000.0,66
Dicentia,DICENT.CO^C09 (expired),DICENT.CO^C09,3877400.0,18
Jyske Sparekasse,DJSPAR.CO^A21 (expired),DJSPAR.CO^A21,9929176.0,64
Djurslands Bank,DJUR.CO,DJUR.CO,2700000.0,64
Gro Capital,DKAP.CO^A05 (expired),DKAP.CO^A05,4220000.0,64
DK Company,DKC.CO^C16 (expired),DKC.CO^C16,2014128379.0,14
DKTI,DKTI.CO^I13 (expired),DKTI.CO^I13,797610.0,66
DS Norden,DNORD.CO,DNORD.CO,32000000.0,50
Drilling Company,DRLCO.CO^J22 (expired),DRLCO.CO^J22,41532112.0,09
Dsv,DSV.CO,DSV.CO,240444523.0,52
Selskabet af 27,EBH.CO^E09 (expired),EBH.CO^E09,8925000.0,64
T & T Aalborg,ECOM.CO^H04 (expired),ECOM.CO^H04,21875000.0,26
EG Danmark,EDBG.CO^K08 (expired),EDBG.CO^K08,3637500.0,62
Ege Carpets,EGEb.CO^C19 (expired),EGEb.CO^C19,2290720.0,13
Embla Medical,EMBLA.CO,EMBLA.CO,427636122.0,32
Ennogie Solar Gr,ENSG.CO,ENSG.CO,31359652.0,64
Erria,ERRIA.CO,ERRIA.CO,11350154.0,50
Energy Solutions,ESI.CO^I02 (expired),ESI.CO^I02,1947520.0,62
Europeinvestment,EUROPE.CO^K08 (expired),EUROPE.CO^K08,38401750.0,59
Wanzl Nordic,EXPb.CO^D17 (expired),EXPb.CO^D17,139000.0,31
Exiqon,EXQ.CO^H16 (expired),EXQ.CO^H16,36874082.0,72
Group 4 Falck,FALCK.CO^G04 (expired),FALCK.CO^G04,88862400.0,80
Fast Ejendom Dk,FED.CO,FED.CO,2659442.0,68
Firstfarms,FFARMS.CO,FFARMS.CO,12246311.0,01
Fionia Holding,FIONIA.CO^L09 (expired),FIONIA.CO^L09,18140520.0,64
Portefoelje,FIP.CO^G04 (expired),FIP.CO^G04,815000.0,66
FLSmidth,FLS.CO,FLS.CO,57650000.0,28
FLSmidth,FLSa.CO^E06 (expired),FLSa.CO^E06,57650000.0,28
Flugger group,FLUGb.CO,FLUGb.CO,2413398.0,20
Atlantic Airways,FO-AIR.CO^F14 (expired),FO-AIR.CO^F14,1035000.0,51
Foeroya Banki,FOBANK.CO,FOBANK.CO,9600000.0,64
Eik Banki,FO-EIK.CO^L10 (expired),FO-EIK.CO^L10,8129274.0,64
Foras Holding,FORAS.CO^J05 (expired),FORAS.CO^J05,12112600.0,64
Forstadernes Bk,FORST.CO^K08 (expired),FORST.CO^K08,18670000.0,64
Formuepleje Epik,FPEPI.CO^C14 (expired),FPEPI.CO^C14,2482571.0,64
Limittellus,FPLIM.CO^C14 (expired),FPLIM.CO^C14,3486040.0,64
Merkur,FPMER.CO^C14 (expired),FPMER.CO^C14,1518439.0,64
Formuepleje Opti,FPOPT.CO^C14 (expired),FPOPT.CO^C14,3365576.0,64
Formuepleje,FPPAR.CO^C14 (expired),FPPAR.CO^C14,2965692.0,64
Formuepleje Pent,FPPEN.CO^C14 (expired),FPPEN.CO^C14,7518833.0,64
Formuepleje Safe,FPSAFE.CO^C14 (expired),FPSAFE.CO^C14,14661665.0,66
FR INVEST AS,FRINV.CO^A02 (expired),FRINV.CO^A02,,26
Formueevolution,FUEI.CO^E13 (expired),FUEI.CO^E13,41668.0,64
Formueevolution,FUEII.CO^E13 (expired),FUEII.CO^E13,48196.0,64
Funki,FUNKI.CO^J04 (expired),FUNKI.CO^J04,2230298.0,28
Fynske,FYNBK.CO,FYNBK.CO,7581000.0,64
G4S,G4S.CO^D21 (expired),G4S.CO^D21,1562766742.0,80
Gabriel Holding,GABR.CO,GABR.CO,1890000.0,13
German High,GERHSP.CO,GERHSP.CO,3654459.0,68
G Falbe Hansen,GFHb.CO^B05 (expired),GFHb.CO^B05,60420.0,14
G Falbe Hansen,GFHc.CO^B05 (expired),GFHc.CO^B05,66420.0,14
Glunz&Jensen Hld,GJ.CO,GJ.CO,1821309.0,28
Genmab,GMAB.CO,GMAB.CO,66197244.0,72
GN Store Nord,GN.CO,GN.CO,150912715.0,26
Gpv Industri,GPVa.CO^G09 (expired),GPVa.CO^G09,158125.0,26
Gpv Industri,GPVb.CO^G09 (expired),GPVb.CO^G09,1010785.0,26
Green Hydro Syst,GREENH.CO,GREENH.CO,187733902.0,27
GreenMobility,GREENM.CO,GREENM.CO,5916553.0,77
Groenlandsbanken,GRLA.CO,GRLA.CO,1800000.0,64
Gubra,GUBRA.CO,GUBRA.CO,16349703.0,72
Green Wind,GWE.CO^D12 (expired),GWE.CO^D12,16218000.0,35
Gyldendal,GYLDa.CO,GYLDa.CO,1020000.0,58
Gyldendal,GYLDb.CO,GYLDb.CO,1020000.0,58
Hafslund Produks,HAFSb.CO^G04 (expired),HAFSb.CO^G04,79758505.0,35
Harboes Bryggeri,HARBb.CO,HARBb.CO,5360000.0,11
Hartmann Packag,HARTb.CO^L23 (expired),HARTb.CO^L23,7015090.0,17
Hedegaard,HEDE.CO^K08 (expired),HEDE.CO^K08,906480.0,01
Hellebaek Fabrik,HEFAb.CO^B05 (expired),HEFAb.CO^B05,4000.0,64
H H Intl,HHDC.CO,HHDC.CO,16500000.0,23
H.Lundbeck,HLUNa.CO,HLUNa.CO,995741110.0,21
H.Lundbeck,HLUNb.CO,HLUNb.CO,995741110.0,21
MT Hoejgaard Hld,HOEJa.CO^D19 (expired),HOEJa.CO^D19,7787069.0,43
Gefion Gr Hld II,HTOWN.CO^B22 (expired),HTOWN.CO^B22,23657432.0,64
Hvetbo,HVETBO.CO^K12 (expired),HVETBO.CO^K12,2296501.0,64
Hvidbjerg Bank,HVID.CO,HVID.CO,1680158.0,64
IC Group,IC.CO^H19 (expired),IC.CO^H19,15193307.0,14
I-Data,IDATA.CO^H02 (expired),IDATA.CO^H02,7052500.0,26
Regional Invest,IFAC.CO^D03 (expired),IFAC.CO^D03,,64
Intermail,IMAIL.CO^E24 (expired),IMAIL.CO^E24,3852465.0,68
Incentive,INC.CO^C04 (expired),INC.CO^C04,5426730.0,28
